requestedUrl,finalUrl,category,name,title,type,score
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-allowed-attr","`[aria-*]` attributes match their roles","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-command-name","`button`, `link`, and `menuitem` elements have accessible names","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-input-field-name","ARIA input fields have accessible names","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-meter-name","ARIA `meter` elements have accessible names","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-progressbar-name","ARIA `progressbar` elements have accessible names","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-required-attr","`[role]`s have all required `[aria-*]` attributes","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-roles","`[role]` values are valid","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-toggle-field-name","ARIA toggle fields have accessible names","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-tooltip-name","ARIA `tooltip` elements have accessible names","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-treeitem-name","ARIA `treeitem` elements have accessible names","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-valid-attr-value","`[aria-*]` attributes have valid values","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","aria-valid-attr","`[aria-*]` attributes are valid and not misspelled","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","button-name","Buttons have an accessible name","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","bypass","The page contains a heading, skip link, or landmark region","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","color-contrast","Background and foreground colors have a sufficient contrast ratio","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","dlitem","Definition list items are wrapped in `<dl>` elements","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","document-title","Document has a `<title>` element","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","duplicate-id-active","`[id]` attributes on active, focusable elements are unique","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","duplicate-id-aria","ARIA IDs are unique","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","form-field-multiple-labels","No form fields have multiple labels","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","frame-title","`<frame>` or `<iframe>` elements have a title","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","heading-order","Heading elements appear in a sequentially-descending order","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","html-has-lang","`<html>` element has a `[lang]` attribute","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","image-alt","Image elements have `[alt]` attributes","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","input-image-alt","`<input type=""image"">` elements have `[alt]` text","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","label","Form elements have associated labels","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","link-name","Links have a discernible name","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","list","Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","listitem","List items (`<li>`) are contained within `<ul>` or `<ol>` parent elements","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","meta-refresh","The document does not use `<meta http-equiv=""refresh"">`","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","meta-viewport","`[user-scalable=""no""]` is not used in the `<meta name=""viewport"">` element and the `[maximum-scale]` attribute is not less than 5.","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","object-alt","`<object>` elements have alternate text","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","tabindex","No element has a `[tabindex]` value greater than 0","binary","1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","td-headers-attr","Cells in a `<table>` element that use the `[headers]` attribute refer to table cells within the same table.","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","th-has-data-cells","`<th>` elements and elements with `[role=""columnheader""/""rowheader""]` have data cells they describe.","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","valid-lang","`[lang]` attributes have a valid value","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","video-caption","`<video>` elements contain a `<track>` element with `[kind=""captions""]`","notApplicable","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","logical-tab-order","The page has a logical tab order","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","focusable-controls","Interactive controls are keyboard focusable","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","interactive-element-affordance","Interactive elements indicate their purpose and state","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","managed-focus","The user's focus is directed to new content added to the page","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","focus-traps","User focus is not accidentally trapped in a region","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","custom-controls-labels","Custom controls have associated labels","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"https://www.thoughtworks.com/","https://www.thoughtworks.com/","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
